BV1CN411o7WE	一个男人骑着自行车走下一段楼梯。
BV1cV41147GQ	一个人在展示一瓶上面写着“wusu”字样的啤酒
BV17B4y1N7B3	一个穿着熊服的人正在随着音乐跳舞。
BV18y4y127bC	一名男子在煎锅中烹制鸡肉菜肴。
BV19q4y1Z7y8	一个女人正在她的脸上画一只蝴蝶。
BV1cy4y1W7Yh	一个人正在用刀切培根。
BV1164y1k7Tu	护士在给一名男子打针。
BV1iW411f7Ly	一只狗坐在草地上抽烟。
BV1Hq4y1L77t	一只蚂蚁正在喝从管子中流出一滴水。
BV1Af4y1s7GZ	一个年轻人正在舞台上表演芭蕾舞。
BV175411x7mq	一个人在做美甲。
BV19f4y1m7Qh	一个人在变魔术，另一个人在配合他。
BV1JA411N7uh	一名女子在餐厅吃薯条。
BV14K4y157FX	一个男人骑着摩托车，旁边是一堵有轮胎的墙。
BV1C3411q7SU	机器给羊群洗澡。
BV12w411R7Wn	一名年轻人正在和他的朋友们练习拳击。
BV1EV411J7hE	一名年轻女子与她的朋友踢足球。
BV184411M7Sk	一个男人正在拉伸手臂。
BV18E411A78c	两个人正在打乒乓球。
BV1g54y1y7WK	一个人鞋掉了光着脚上课。
BV1Ax411t7ov	使用美甲仪美甲
BV1264y1U7ob	一个小女孩模仿地铁英语报站。
BV1as411a7Pb	男子尝试掰取劳斯莱斯豪车车标
BV1cQ4y1f7Ef	鳄龟在水中游动，男人摸它的龟壳
BV13E411Z78w	一个人在练习跳跃动作和扣篮动作。
BV18f4y137jT	铁匠正在锻造日本武士刀。
BV1Fv411C7gB	穿着黑色连衣裙的漂亮女孩正在商店里展示高跟鞋。
BV1eg411u7tL	一只鸟正从金属管道的洞里往外看。
BV1944y187RW	女人手里捏着一只小蜥蜴
BV1fZ4y1x7gc	一个男人正在地板上逗猫玩耍。
BV1DC4y1h7SL	一个穿黑衬衫的男人正在打台球。
BV134411V7Fa	一个穿西装的男人骑着一辆小拖拉机。
BV1aZ4y1V7m1	一只鹿在野外走路并且鸣叫。
BV16p4y1H7UQ	一个人在车内转方向盘。
BV125411g75h	一个人把骰子放在一个倒扣的蓝色杯子下。
BV17y4y1M7LS	一个男人正在做引体向上。
BV1HV411z7M2	一名年轻女子在篮球场上起跳。
BV1gb411z7XF	一头大象坐在了一个人身上。
BV1AE41187Gq	一个人在蓝色的地板上练武。
BV15b4y1d7Yo	一个女人正在编头发。
BV1CE411w7X8	球被足球运动员踢进了球网。
BV13A41147Dc	一个女人在编辫子。
BV1aJ411C7Ag	一个男人举着杠铃躺在长凳上。
BV11b411V7Wg	一个人在单杠上做引体向上。
BV1Hf4y1R7i3	一名身穿黑色衣服的女子在跳舞。
BV1Gg411u7P3	一个人抚摸着一只在浴缸里的雪貂
BV1D7411E7X1	一群企鹅正在冰面上行走。
BV1eX4y1w7ss	一群人在餐厅吃午餐。
BV1264y1W7H4	一个男人在小区里练习拳击。
BV1eh411v73W	一个女人赤脚踩蝎子。
BV13t4y1v7LU	一匹马跑过来，把马背上的女人甩在地上。
BV1BW411A7Xw	一个人在镜子前拍照。
BV1aK411M7tW	蚂蚁在树上搬运食物。
BV1H5411476e	一个人从瓶子里放出一只老鼠，一只老鹰抓到了这只老鼠。
BV1EE411P7xd	一个男人坐在桌边吃饭。
BV12W411x79y	一个穿着熊服装的小孩走在人行道上。
BV11x411d739	一个人在武术馆里空翻。
BV19441177SE	学生们在学校的院子里练习武术。
BV1a5411u7jC	一只乌龟正在吃一片仙人掌叶。
BV19g4y1B7Rd	两名男子在运动场上跑步。
BV1f4411H7gG	一个男人在练舞房里跳舞。
BV1d64y127Vt	一个人正在展示头饰。
BV1264y127XT	一个女人用水果喂鹦鹉。
BV1cg411V7Dm	一个男人在床上睡着了。
BV1CZ4y157JX	一个人在健身房锻炼肌肉。
BV1FJ411H7sN	一只狮子在动物园里打哈欠。
BV1jg4y1677g	一只小山羊正在被人喂食。
BV1fD4y1D73U	一个人在燃放烟花爆竹。
BV11f4y1Q7bE	一个人煮了一壶热气腾腾的咖啡，并且烤了烤肉。
BV18U4y187uK	两名士兵在跑道上奔跑。
BV1b64y147qw	小象撞到了大象腿上，然后坐在了地上。
BV1a64y1z74j	一个人在展示蘑菇。
BV1bk4y1y7w7	年轻女子在晚上跳进游泳池。
BV1hZ4y1u7ar	空乘在拉动舱门。
BV1Fq4y1X7yk	一名男子将一个鸡蛋放入煎锅中。
BV1Hz411e7yY	一个穿迷彩服的人跳起来旋转。
BV15A411n7PH	一个人骑着滑板，在空中做着把戏。
BV1dy4y1G7pw	一个人在仓库里，他被一块木头砸到。
BV1HK411A7Mm	一个男人在室内里吹长号。
BV1HP4y1s7F9	一个人抚摸着一只毛茸茸的白色的狗。
BV1eJ411m7kU	一个人在山上用刀切红苹果。
BV1gD4y1U7bB	军人们正在爬上一座雪山。
BV1354y1t7Rz	一个男孩正在把围巾系在脖子上。
BV16i4y1g7RC	一只巨嘴鸟正坐在石墩上吃东西。
BV1cE41137gi	一只狐狸正在打哈欠。
BV11k4y127HJ	一名戴着口罩的男子坐在地铁的椅子上。
BV13T4y177nS	一个男人在健身房托着杠铃深蹲。
BV1JN411o7db	一名戴口罩的女士在商场散步。
BV1eA411M7gL	一群穿着黑色服装的人在舞蹈室里跳舞。
BV16t4y1i7xJ	一个篮球运动员跳跃起来并投篮。
BV11Z4y1M7h4	一个人在晚上骑摩托车。
BV1Ei4y1N7Uc	一只海豹从沙滩上滚到水里。
BV14b411M7sP	一个穿红色制服的空姐正在关闭飞机舱门。
BV1it411J7xa	一个女人用发簪盘起了她的头发。
BV19p4y1W794	显示器上显示一架飞机撞向廊桥。
BV1EA411Y7ET	一个女孩在商场里走来走去。
BV1H7411m7CV	一个男人对着一棵树做高踢腿。
BV1eo4y1f7C8	一个人正在使用弓箭瞄准靶心。
BV1AW411e7En	一个男人跳起并踢飞矿泉水瓶。
BV144411s7az	一只仓鼠正躺在笼子里，里面有许多木屑。
BV1JK41137NG	一个人站在屋顶上使用飞牌拦腰切断一瓶可口可乐。
BV17W411p7aE	在市中心的马路上一辆坦克与一辆小汽车发生交通事故
BV1Dz4y197sq	一名身穿蓝色制服、戴着口罩的男子在加油站给一辆摩托车加油
BV1fL4y1Y7zP	一个人正在桌上切寿司。
BV1cA411G7Q2	一家商店书架上陈列的书，上面写着中文。
BV16M4y1N7eX	如何用刷子涂口红。
BV1E741157cu	一个男人坐下来用步枪射击。
BV1jb411A7TY	一只熊坐在角落里
BV1bC4y1W7LJ	嘻哈艺术家在展示他的项链。
BV1JE411d7eY	一个人在抚摸一只站在凳子上的猫。
BV1av41177KU	一个女人在室内做瑜伽。
BV1DW411D7Bm	一个人展并和试穿明朝盔甲和臂甲。
BV1g54y1H7iF	一个男人抱着一个小女孩在稻田的水坑里玩耍，一个小男孩在稻田里插秧
BV1J441187VG	一名正在睡觉的士兵被榴弹炮射击的声音惊醒
BV1fy4y1p7Mt	如何在玻璃瓶中泡绿茶柠檬水。
BV1ct4y1B7Ft	士兵在森林里跳舞。
BV1jE411y7Hi	切柚子的视频
BV19W411U7yj	一名男子在向导的帮助下划着皮划艇在水中穿行，然后被一只海豹叼着章鱼打脸。
BV1gy4y1t7de	一个小男孩使用飞牌熄灭蜡烛、打破气球、击爆易拉罐
BV1dr4y1T7WW	一只小仓鼠跳上床并跳过它。
BV16q4y1L7Yf	一个人用锤子在木头上钉东西。
BV1hz4y1f7sG	一辆轮胎陷在泥里的脏车。
BV1bQ4y1N7M1	一只白兔从沙发上跳下来。
BV1D54y1B7mz	一个人提着篮子在河里钓鱼。
BV17f4y137gw	一个戴着耳机的女人坐在机场里，她正在说话。
BV1Gz4y1d7aF	一只蜘蛛在天花板上。
BV1gp4y1973a	一个年轻人在滑板上玩了个把戏，然后跳了一段街舞。
BV1G54y1X7i2	一名男子正在蹦极。
BV1iL4y1e7b1	两个戴着拳击手套的男子正在拳击馆里打拳击，背景是奥林匹克标志。
BV1fN411R7QJ	一个人在用木棍抓蛇。
BV12q4y1W73U	一个男人在划船机上做划船动作。
BV1EL411W7DT	一个人正在训练一条狗。
BV1ef4y1W7pz	一个人把汉堡和薯条放在一个碗里，然后将它们捣碎。
BV12q4y157bc	一只老虎在厨房里的水槽上喝水。
BV1es411e7Wj	一个人在森林里抚摸着一头大象。
BV1Dp4y1k7DE	一个男人正在让另一个人理发。
BV17x411V7QG	一位女士正在和机器人一起玩。
BV1fe411x7h9	刚出生的婴儿从瓶子里喝牛奶。
BV1H5411b7hd	两只老虎在打斗。
BV1fT4y1G79f	一个男人坐在购物中心的地板上，展示街舞技巧。
BV1gE411v72h	一个男人正在健身设施上做引体向上。
BV13T4y1L77f	女子走下自动扶梯。
BV1CJ411V7EA	一群男子在健身房健身。
BV1Ab41187st	一个人在健身房里面健身。
BV1D64y1Q76P	一个女人正在示范如何做她的头发。
BV12U4y1h7Vj	一个男人正在示范如何运球。
BV12p4y1p7kc	一个男人在燃放烟花。
BV1cv411e7Ga	一个男人站在桌子前，用自制的小手枪打靶子。
BV1aa4y1Y7HD	小女孩和宠物兔子抱在一起，轻轻抚摸兔子
BV1iV411z72R	一只白老鼠坐在一个人的肩膀上。
BV1964y1r7GL	如何做星空美甲。
BV1ek4y167hx	给柯基狗修建屁股处的毛发
BV16U4y187dx	下雪时，一只白狼正看着镜头。
BV11x411U7uX	男人带上猫面具逗猫，猫被吓跑。
BV1E64y1F7gE	一个男人骑着自行车，在坡道上玩把戏。
BV1HJ411e7ub	一只老虎和一只大豹子玩耍。
BV12Q4y1h7yA	一个人正在示范如何系黄色橡皮筋。
BV14J411L7fx	一个背上有鸟纹身的女人
BV144411V7tS	一个年轻人在繁忙的街道中央跳舞。
BV1A4411f7G3	一个男人正在武术馆练武，墙上写着中文。
BV1gs41187Hk	飞机正在天空中飞行。
BV1dA411t7hd	一只蜘蛛坐在电脑键盘上。
BV19f4y1C77Q	一个人站在运动场上，然后他举起了胳膊。
BV14U4y1P7yJ	一名妇女在厨房灭火。
BV1CE411c74H	两个女孩站在人行道上，一个拿着一张纸。
BV1Jb4y1d7h5	一个人正在边弹吉他边唱歌。
BV1HJ411n7cC	两黑天鹅带着它们的孩子在水面中。
BV1H7411r7Hq	一个人正在抚摸一只小鸟。
BV1cW411P7yg	一只仓鼠在一个小笼子里，然后在一个圆盘上转圈。
BV1GV411p7en	一名年轻人正在打鼓。
BV13B4y1F73n	一只小羊睡在稻草上
BV1eV411H7X2	一个人用手把西瓜剥开。
BV1eL4y1a7Np	一个男人在健身房举重。
BV1eh411d7yZ	一名男子正在做静电飞花实验。
BV17K4y1x7bk	一个小男孩正在拍照。
BV1D54y1v7f8	一名男子在繁忙的道路上骑摩托车。
BV1hq4y1Z74V	一个男人骑着自行车沿着人行道行驶。
BV1Ey4y1k71U	一辆红色的改装汽车正在街上作为出租车行驶，停车载客拉客。
BV1EJ411k7KA	一个男人在健身房里用黑色大杠铃深蹲。
BV1hK4y1f7Wq	一个人捡到了白耳绒猴宝宝并安全放生
BV1BA411j7Vj	一个人在跑步机上跑步。
BV1Cz4y197UH	一个身穿盔甲的人射出弓箭。
BV1eQ4y1N7c9	一名年轻女子一边喝酒一边吃着沙拉。
BV1FT4y1K72w	一个男人正在试穿jk小裙子。
BV1iK4y1e7w5	QQ飞车游戏的广告。
BV1Df4y1D7NR	一群人正在染发，选择合适的发色
BV1j44y1r7Jd	两个人对向跑开，狗狗纠结追哪个人
BV12t4y12723	一个人右手拿着枪进行展示。
BV1JJ41127Kr	一个帅气的年轻人在游泳池里穿泳装仰泳。
BV18b411N7We	运动员跳高并成功降落在另一侧。
BV11K4y1H7y1	一个人正在展示如何制作槟榔，另一个人尝试吃槟榔。
BV1df4y117iP	一个戴着帽子、身穿白色 T 恤的年轻人在房间内试穿夏天男士衣服。
BV1aK4y1x7YC	两个男人手持武士刀进行剑术比较。
BV1BE41167T2	一个男人体验开跑车通勤
BV1jb41187gU	一个人正在展示如何高效地折叠棉被。
BV1CK4y1o7vf	在田野上剥开一根绿色的竹子。
BV1eh411W7yj	一个热气球正在城市上空飞行。
BV1Fi4y1E7Ck	一个人和一条狗跳进了游泳池。
BV1aC4y1s7vx	在城市上空飞行的飞机的机翼。
BV1G7411J7BN	一个人正在搭建一座用筷子制成的桥梁模型。
BV1FK4y1H7x7	一名老人给猫喂食。
BV1fy4y1m7cE	一名男子用紫外线消毒枪对餐厅消毒。
BV1Fx41147Dh	一条身上带有表情符号的白色小蛇。
BV1JE411q7u2	一群人围观一辆坦克。
BV17q4y1L7My	一名男子在健身房健身。
BV1aE41187QS	一只鸡挑衅一匹马，被踢飞。
BV12Q4y117oQ	一个女人正在走路。
BV12s411B7UJ	飞机在跑道上滑行加速后起飞。
BV1fA411F765	一个穿制服的男人正在射击。
BV19z4y1R7Kq	一个穿白衬衫的男人正在地板上跳街舞。
BV1hs411G7fH	两个人驾驶汽车撞在了一起。
BV1hA411p7YM	为芭比娃娃编头发
BV19f4y1v7rj	一个男人正在打高尔夫球，地板上有一块绿色垫子。
BV18J411X7cD	一只蜜袋鼬正在吃东西。
BV1Eq4y1N7HK	一群人在棒球场里追赶一只小狗。
BV124411S7mH	一个人正在把水果切成小块。
BV16341167xw	一个穿着黑色服饰的男人正在踢沙袋。
BV1b7411v7D6	一个小女孩在舞台上表演用刀砍断木头。
BV11U4y1V7mo	一头海象正在用身体撞击汽车。
BV13V411q7Ee	一只鸟站在水池边上的石台上。
BV1ci4y1L7Tc	一个男抱着一只小熊猫并给小熊猫们喂食。
BV18z4y1C7Y7	一个女人带着口罩抱着一只大熊猫。
BV19b411s75R	一头骆驼正在吃仙人掌。
BV1Hh411s77F	一个正在人展示带有黄色尖端的粉红色指甲。
BV1HE41137ZJ	一个人在示范如何烤红薯。
BV15J411T7oS	饲养员将熊猫幼崽放到木板上。
BV14k4y127JZ	一个人手里拿着一只有粉红色爪子的仓鼠。
BV16f4y1z7Wf	一位女士正在展示如何扎马尾辫。
BV16g4y187tY	一个人在雪地里切西瓜。
BV175411s7Zm	一个人正在编头发。
BV1gb411T78N	一个男人对着镜头弹吉他。
BV1d5411p7Mc	蛇被男人举起。
BV1G5411s7Pp	一位舞者正在一扇大窗户前跳舞。
BV1eA411g7sg	一个人切了很多水果并榨汁做成冰块。
BV1iK4y1u7VM	一个人在搅拌锅里的白色液体。
BV1BX4y1P7ZT	两个男人在比赛掰手腕。
BV1854y1z7vi	一个男人正在篮球场上运球并投篮。
BV15h411S7f1	一个人正在用刀把芒果切开并用勺子将芒果处理到碗里。
BV1DE411Z7Fw	一名女子在运动场上推铅球。
BV12t4y1e7t8	一架战斗机在水面上空飞行。
BV17o4y1Q7x5	一颗导弹在海上被发射。
BV1Eo4y1o7ya	一群人在公路上骑自行车，经过了一个弯道。
BV1Ft4y1R7eT	一个有纹身的女人在逗猫。
BV13f4y127CS	晨雾中山的鸟瞰图。
BV1AK4y137kZ	两只白狼抬起头从山洞里往外张望。
BV1Bx411H7Yt	男孩们在游泳池里玩耍。
BV12f4y1x7io	如何用指甲油做美甲。
BV1FT4y1L7jt	一名女子在海中潜水。
BV11y4y1v7bV	一个人在用木头制作雕塑。
BV1av411V7rY	一个人拿着一篮子糖果
BV1Gf4y167Ny	一名男子在操场上跳远。
BV1J54y1d7Lj	一个男人在地板上做运动。
BV19K411M7zv	厨师用勺子做荷包蛋。
BV12e411x7aT	一只小白螳螂在桌子上四处走动
BV1354y1878Q	一个女生在保龄球馆扔保龄球。
BV1444y1y7FV	一名男子正在健身
BV16J411x7NV	一个人在健身房用杠铃做卧推。
BV1954y1m7Bs	一位老妇人正在客厅里弹钢琴。
BV1Ae411s7Su	一只鬣蜥在游泳池里游泳，游泳池上面漂着一只蜥蜴。
BV1ey4y1L7XW	一名男子正在展示如何正确切榴莲。
BV1eb411Y7ux	两个成年男子在武术馆里对打
BV1da4y1Y76k	一个女人在一个白色的房间里，穿着黑白相间的裙子，背着一个黑色的包。
BV19K4y1T7fr	一只猫试图爬上一棵树去捉松鼠。
BV1eD4y1R7Vr	一个小男孩从一只羊身边跑开。
BV1j4411y7YN	一头牛被一名警察拖着走在路上。
BV19t41197t3	一条巨大的蟒蛇盘旋在树干往上爬
BV14A411g7o9	两个身穿迷彩服的士兵在森林里练习格斗
BV1CV411o7aj	跳芭蕾的年轻芭蕾舞演员。
BV1hv411a7DA	体育馆里的篮球运动员在练习打篮球。
BV15k4y1r7F9	一位女士正在舞蹈室跳舞”。
BV1dv411k7Y6	一个男人在健身房举杠铃健身。
BV14E411a7a6	一只小仓鼠在笼子里舔自己的爪子
BV1b64y1M7za	人在牛面前跳舞。
BV1GQ4y1Z7Da	一个人正在用脚抚摸一只躺着的猫。
BV16x411E7nP	一群人正在观看一些在水族馆里游泳的鲨鱼和金枪鱼。
BV19v411E7kQ	一群女生在练习舞蹈中的转圈动作。
BV1Gt4y1U7bx	几名男子在街头帮老人捡鸡蛋。
BV1gx411e7ji	一个人在水槽里给一只小狗洗澡。
BV1Bb4y1r73j	一个人在制作酥皮奶油蘑菇汤。
BV12J41167da	一个男人在小区里做引体向上。
BV19K4y1x7hG	篮球运动员在篮球场打篮球。
BV1AL4y1Y77H	一群人在街上混战。
BV1DC4y1s772	一些人在健身房用杠铃举重。
BV1CV411p7kM	一个小男孩正在河边钓鱼。
BV1EC4y1h7Mb	鸽子在空中悬浮，引起路人驻足观看。
BV1az4y127Ht	厨师展示刀工切白菜，制作凤尾白菜这道菜
BV1A5411n7r4	一名男子正在示范如何使用直发器打理男士发型。
BV1bV411279M	一个女人正在展示如何编头发
BV1Hr4y1N7JV	地震时游戏厅剧烈摇晃，玩游戏的年轻人对此没有反应。
BV1db411W764	一个人坐在海水中的椅子上，椅子上有火。
BV1Gx411X7UG	足球场上美女裁判掏纸巾擦汗。
BV1bE411e7jn	一名男子在地铁里踩住一只老鼠。
BV1g5411c7Rn	教练指导孩子们如何踢球。
BV1CK4y1u73g	一位男人正在农村牛棚里用火烧蚊子。
BV1cU4y1E7H2	一个穿红衬衫的男人正在做卧推。
BV1Ff4y1B7Tj	一名男子假扮新娘在婚礼现场提起婚纱狂跑
BV1d54y117oQ	一群鸡在院子里走路。
BV1DJ41187Hp	一个男人在练舞房里展示舞蹈技巧。
BV16v41187hu	一名年轻男子在街上踢足球并传球给路人。
BV1Ca4y1H7ep	一个人正在向用杯子抛接另一个杯子，尝试了很多次后终于成功了
BV18z4y1m7zr	一个穿着和服的女人边跳舞边微笑。
BV1bv411k7FS	一个小女孩在哭，金毛犬在一旁护着小主人。
BV1bk4y1y7WG	一个女人抱起了一只狗。
BV1Ef4y1y7N4	一名女子展示男女上厕所的区别。
BV1cx41117Ew	一匹马从镜头前跑开。
BV1ii4y1t7PV	一个戴着口罩的人在室内跳舞。
BV154411F7rc	一个人正在训练一条狗，被狗咬到了手。
BV1Fv411876n	一群消防员为一个老人讲解消防设备。
BV1jo4y1D7BB	一名女士抱着一个婴儿。
BV1ci4y1P7nc	一名女人在街上打架子鼓。
BV1Hf4y1A7zQ	一名男子驾驶飞机穿过高速公路隧道。
BV1GK411w7DF	一群打扮得像机器人的人。
BV16i4y1M7Af	婴儿躺在床上哭。
BV11b411T7Ly	一只橙色猫爬上树，抓老鼠。
BV1cJ411u7bc	一个人正在用小刷子刷指甲贴。
BV16p4y1k7R3	孩子们在操场上上体育课。
BV1Bt411H7Vb	一个男人在抚摸鳄龟。
BV1hA41187oF	龙卷风卷起了地面上的沙土和物品。
BV1e54y1U7sM	一个男人坐在椅子上理发。
BV1Cf4y147cZ	一个男人正在做仰卧起坐。
BV1Ah411s7Nt	一个女人在编头发
BV13V411E7dA	这名妇女站在医院的病床边哭泣。
BV1fx411Q7Yr	一只袋鼠站立在围栏前。
BV1Ja4y1L7EW	男子在室外里练习武术。
BV1b4411L7mP	一只熊和一个人在河岸边打架。
BV1Bp4y1n7Ud	一个人在沙滩上写字
BV1CE411d7cG	一只狗跳起来扑向一个女人。
BV18f4y1i7Qp	一个人在跳绳。
BV1C64y1X7Ru	一个男人正在使用工具装配自行车。
BV14Q4y1C7Dc	一些人在汽车展厅里交谈，并用手捂脸。
BV1Ar4y1F7vJ	如何制作美甲。
BV1ht41157nc	两名身穿制服的女子在一栋大楼前骑马。
BV1FW411C7ES	一群男人正在房间里站着，他们都打着领带。
BV1C54y1s7AG	很多机器人在交谈并移动
BV1Ci4y1w7W9	一个人在山路的弯道上骑摩托车。
BV1dN411Q7XC	一只熊猫正在吃一个苹果。
BV1f4411q7hj	几个穿西装的男人正在上自动扶梯。
BV1ep4y1x7sK	一个人用牙签擦黑鞋。
BV1JN411f7bY	一群狗正在乘坐玩具火车。
BV1Ab4y1d7xz	白海豚在水中游泳。
BV1Dv411L7K3	一个人正在抚摸一只熟睡的考拉。
BV1ih411S773	一个人在草丛中抚摸着一只小兔子。
BV1g64y1i7kN	一个小女孩坐在一辆印有中文的蓝色手推车上。
BV1ef4y1z7AZ	一个人在抚摸一只躺在地上的老虎。
BV1Gb4y1m7hF	一名妇女在电脑键盘上打字。
BV19t4y1a76d	小白狗和鹅在玩耍。
BV15T4y1T7Ae	一名妇女在跑步机上锻炼。
BV14v411t7JL	一个婴儿坐在浴缸里，有说有笑。
BV137411f7kN	一个女人在健身垫上练瑜伽。
BV17W411V7aS	一头灰狼在山洞里嚎叫。
BV1Ft4y1q78B	草原上骑白马的少女。
BV1Ds411p76K	一名游泳者戴着泳帽在游泳池里游泳。
BV14W411j7ec	鳄鱼在动物园里面爬行
BV17V411k7Pn	一个在练舞房练习芭蕾舞的女性
BV1cV411o7Qu	男子穿过丛林的时候拍摄跟随他的貘
BV1Gb411C7cb	一只海獭正在揉它的脸
BV13E411q7Pe	一只手遮挡一只白色的猫头鹰。
BV17i4y1N7c9	运动员跑过跑道。
BV19a4y1W7gR	一个人展示了很多不同类型的宝石，吊坠，项链和耳环
BV1G64y1D7kB	一名士兵在院子里做引体向上训练
BV1iv411r7Rt	一位老人在小区里练习传统武术
BV13a411A7GX	几个女人坐在公交车上
BV14J41147H5	一位女士正在展示如何用手指编辫子。
BV1564y1c7ND	一名骑着模型海豚的男子撞到了另一名男子。
BV1ib411g7hF	一个人正在做前空翻。
BV17k4y1C7rt	一个男人在垫子上做俯卧撑，他的孩子在旁边模仿他做俯卧撑
BV12h411Z7ST	狗在笼子里吃东西。
BV1bU4y1j7E6	一个男人晕倒在一辆消防车前，他的牙齿和脸都受伤了。
BV1hE411e7zP	一个男人正在修理他的发型
BV1BK4y1a7rx	一群人在宴会厅里笑和鼓掌。
BV1j741167sz	一个人在跑步机上跑步。
BV1Bp4y1s7K1	一个人在弹电吉他。
BV12A411i7jA	一个女人正在展示如何设计她的头发。
BV1754y1Q7q1	一个男人正在切芒果。
BV14V411B7Q4	一个女人正在展示她的靴子
BV1Bf4y1Y7dm	一个男人在跑步机上走路展示穿搭。
BV12K4y1w7DS	一辆白色汽车正在停车。
BV1Bt4y1z7T6	一个女人站在镜子前，手里拿着一个平底锅。
BV1Dp4y1p7a4	一个男人正在篮球场上运球。
BV1hL411W78V	一个男人正在展示有毒的蘑菇。
BV1ba4y1W75e	男人们正在练舞房练习舞蹈动作。
BV17b4y1r7ub	一个女人正在展示她的舞蹈动作。
BV1DD4y1Q7gU	两个人在篮球场打篮球。
BV1HL411x7vp	一只鸟正坐在一堆树叶上。
BV1dV411W7GV	两个人在游戏厅里抓娃娃。
BV1cL411n7gE	一个人采了一个黄色的蘑菇
BV19f4y1W7Xd	一个人正在停车。
BV1Ev411h7JJ	一个拿着手机站在镜子前的小男孩。
BV18f4y1x7zm	一名足球运动员将球踢进了一个球门
BV13V411s7dS	一个男人正在球场上运球。
BV1A7411z7FW	一架喷气式战斗机模型在空中飞行。
BV1e44y117gM	一个小女孩在乖巧地被大人喂食
BV1HA411N7MT	一个男人正在健身房做引体向上。
BV16z4y1o7Ub	狗狗撞到玻璃门，熊在地上打滚。
BV16Z4y1A71Q	一个女人正在展示两种不同的脱袜子的方式。
BV1dt411V75p	一个男人正在射箭。
BV19K4y1J7w9	狗在小区里奔跑，它的狗绳上拴上了一条裤子。
BV1f54y1v7u3	一位女士正在示范如何卷发。
BV1CU4y1a7Wp	一种特殊的路口装置，用于防止路人闯红灯
BV14t411Q7Hz	一位厨师穿着厨师制服在接受采访。
BV1h64y1T7oa	一个男人正在篮球场上打篮球，展示撤步突破的技巧。
BV14X4y1G71B	一个人正在用画笔作画。
BV17M4y1T7ct	两个人正在练舞房里表演舞蹈。
BV1gh411Y7W8	一个男人正在展示如何正确穿西装。
BV1AJ411X7Zi	一个男人正在理发
BV1dy4y1i7JC	一个高三学生帮老奶奶推车上坡。
BV13v411P7Kw	许多烟花一起燃放。
BV1eJ411U7TF	一个人拆开礼物盒。
BV1BJ411q7Lk	一个女孩正在展示如何跳少儿舞蹈。
BV12b411h7Ri	一个人正在演示如何包装小罐茶
BV11s411M7J2	一列火车在铁轨上行驶。
BV1dK4y157pT	一个男人正在房间里做俯卧撑。
BV1164y1C7Kq	一个人正在使用工具清洁牙齿。
BV13y4y1G71C	一个人正在用锤子敲碎一块石头。
BV1f7411c78y	一个男人正在练舞房里表演芭蕾舞。
BV1eE411B7RM	一个人在弹吉他
BV1Gp4y187Po	编辫子的过程。
BV1df4y1572H	一个女人在舞台上表演传统舞蹈。
BV12i4y1K7XW	一个人在跑道上奔跑。
BV1df4y1k78h	一个人在示范如何旋转羽毛球拍。
BV13K411c7gi	一个男人正在展示如何投篮
BV187411p7WM	一个人正在展示汽车模型。
BV1gE41197KP	一个男人介绍如何出拳。
BV1f64y1y7F9	一个男人在做俯卧撑，然后做倒立。
BV1Hr4y1M7xs	一个人正在理发。
BV1ep4y147eT	一群女孩正在做芭蕾动作。
BV1Ey4y1s7xj	一位女士正在一家服装店自拍。
BV1jL4y1h7ty	一个女人正在展示如何做发型
BV1EA411q7LG	一个男人在舞台上唱一首歌，手里拿着风扇。
BV14f4y1s72k	三个男孩正在房间里练习颠球。
BV15i4y1E7GE	一群小狗在跑来跑去。
BV1GW411w7kd	装子弹的机器
BV1JE411E76w	一个小女孩正在示范如何编高马尾。
BV1f54y1x7Sj	辣味的冰淇凌
BV1HD4y1D7aK	模型汽车在轨道上行驶。
BV1GZ4y1V72Z	一名女生正在羽毛球馆打羽毛球
BV15b4y1975B	许多女人在房间里穿着旗袍走路。
BV1E44y1m7VB	一辆汽车停在被洪水淹没的道路中间
BV13v411t73F	烤架上正在烤一大块肉。
BV1gV411n7Ex	一个人正在展示如何射弓箭，但被弓箭伤到了手。
BV1E54y1p7KK	一个人正试图爬上双层床。
BV14v41167u4	一名男子从水沟里救一只猫。
BV1E4411J7Nr	两个女人在下棋。
BV1Ci4y1c7xH	一个女孩在跳舞。
BV15P4y1Y7tA	一群人正在观看体育赛事，一只猫从高处掉下来。
BV1B64y1z7od	一个人正在往平底锅里加入切碎的蔬菜。
BV1Gz411v7zv	游泳者潜入水中，然后从水中出来。
BV14K4y1R7PG	一个男人介绍如何驾驶汽车。
BV1ey4y1t7kf	一个男人在打篮球
BV144411Z7CY	一个人正在厨房磨刀。
BV1d541187TU	一个年轻的女孩站在门前，然后她开始跳舞。
BV145411w7Gy	一位女士正在示范如何卷头发。
BV1cV411U7P1	一个女人用眼罩遮住她的眼睛。
BV1ag41137jy	一个人在跑道上跑步
BV1c54y1a7NV	一个女人在做发型。
BV197411875K	一个人在篮球场上扣篮。
BV1j7411b7SY	一群穿着传统铠甲的人。
BV1jN411o7VB	一个人在做运动
BV1Co4y1f7HL	一个女人正在对着镜头讲话。
BV11z4y1C7QU	一个人正在给狗梳毛。
BV18r4y1T7AR	一个人正在展示如何玩蝴蝶刀。
BV13p411o7bw	阳光透过森林里的树木照耀着一个穿着汉服的美女。
BV1Bt4y197ot	一个男人在展示武术
